idx,problem_id,module,fault,pi_bits,po_bits,gates,exact,probe_vectors,uniform_detection,uniform_activation,expected_random_best4,target_is_pi,target_is_po,all_zero,all_one,zero_or_one,constant2_random2_observed,random,greedy,mcts,best_of_n,evolutionary,vector_evolutionary
491,9c141c84906006a290e5aeb4fb74e8173b6969294c42335d393af86ad3480c70,seg7x4withcolon,sa1 n23,7,16,34,True,128,0.75,0.75,0.99609375,False,False,0,1,1,1.0,0.75,0.25,0.5625,0.8125,1.0,1.0
492,cf1f852ed15a4912ebe7e2de85dd6f280ec87ed47a29732fc6477ce12a1f7562,cin_logic,sa0 fs2,4,1,4,True,16,0.3125,0.5,0.7765960693359375,True,False,0,1,1,1.0,0.3125,0.5625,0.75,1.0,1.0,0.5625
493,775ee3ad35531c5190619a67f290bbcb9dd40c836198fde3a481d37a35fcac75,s1l3c,sa1 salida,3,1,2,True,8,0.5,0.5,0.9375,False,True,1,0,1,1.0,0.375,0.5,0.6875,1.0,0.9375,0.9375
494,0e04d4904831b2e2deaedbc13d694e2f196bb8a70b3e69f4315686776b04fac2,rv32i_aludec,sa0 ar_i,14,17,32,True,16384,0.234375,0.5,0.6563910841941833,True,False,0,0,0,0.4375,0.25,0.25,0.75,0.9375,0.8125,0.75
495,d0742420f66c42044424eb1c1036c96f3c2825d9091acf39543c984587327895,halfadderbehavioral,sa1 carry,2,2,4,True,4,0.75,0.75,0.99609375,False,True,1,0,1,1.0,0.6875,0.8125,0.8125,1.0,1.0,1.0
496,44c39b7de91738420c55fbcd8a1588ce3942ceed332a3c90c3f27c3743bf0382,qkt_macro_handler_unit_sub_18sx17u_19s_1,sa1 n2,35,19,62,False,8192,0.7467041015625,0.7467041015625,0.9958836468215428,False,False,0,1,1,1.0,0.75,0.375,0.6875,0.8125,0.75,1.0
497,45ee41341c9226d46c695c097eda7904623423c56ca4f268260c3cb155d847bf,top_module,sa1 n4,8,1,4,True,256,0.5,0.5,0.9375,False,False,0,0,0,0.6875,0.5,0.4375,0.75,0.8125,0.9375,0.9375
498,d9b8bc9190e64b0614e7aa9bfe7807874282d330ea3fbc3422d0c7f559342545,adder,sa1 n162,64,32,93,False,8192,0.4959716796875,0.4959716796875,0.9354613677955681,False,False,0,1,1,1.0,0.75,0.375,0.875,1.0,0.875,1.0
499,7ef16f21b7a86131177af3cad3aef709feca880957e98335c158818ce69f1750,qkt_macro_handler_hub_equal_1u_28_4,sa1 out1,2,1,2,True,4,0.75,0.75,0.99609375,False,True,1,0,1,1.0,0.75,0.4375,0.8125,0.8125,0.8125,1.0
500,c06429837b62d309728ec459c1c34985259760695baa1e4d6a052452512899fa,wb,sa1 n21,50,16,19,False,8192,0.743408203125,0.75146484375,0.9956651799621419,False,False,0,0,0,1.0,0.8125,0.875,0.9375,1.0,0.9375,1.0
501,898948a5bc131cf2ef3953e1658f3d57e7948591851b70297e86db834d62f5c9,sigma,sa0 n52,12,12,45,True,4096,0.515380859375,0.515625,0.9448427947945639,False,False,1,0,1,1.0,0.4375,0.5,0.875,0.9375,0.9375,0.875
502,26d79a91cb3115489f7a492be71ef5ec30316525543a071455eff0b9cd38e561,add_one,sa0 n9,8,8,17,True,256,0.9921875,0.9921875,0.9999999962747097,False,False,1,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
503,fb1e7859e156d23ef1f886f8da16a84072685d77dffa84536fc61edd2d18d923,alu,sa1 N32,11,4,57,True,2048,0.125,0.5,0.413818359375,False,False,0,0,0,0.1875,0.0,0.0625,0.0625,0.4375,0.25,0.4375
504,e32bfab3f20d272b4692894549925790a7ddd9f1a203cd107c058b88351cde41,mux_2x1,sa0 s,3,1,2,True,8,0.25,0.5,0.68359375,True,False,0,0,0,0.5,0.1875,0.5625,0.75,0.9375,1.0,0.5
505,95f3f7ef242f53247bcc87639ee14a7e500b1fd9d0896ae71cbc0f7271f458a9,control,sa1 o_alusrc,6,11,33,True,64,0.890625,0.890625,0.9998568892478943,False,True,1,1,1,1.0,1.0,0.9375,1.0,1.0,1.0,1.0
506,f704dea1ab600b457cf2b7c8159e0e792620c033d0ddbc62ed0c995aee601604,hazard_pipeline,sa1 flushd,42,8,70,False,8192,0.5059814453125,0.5059814453125,0.9404374828487361,False,True,1,0,1,1.0,0.5,0.4375,0.875,0.8125,0.625,1.0
507,8125d6320e12d8d8cfdf0c90849944305c593ebba53f5d7a791988d15d14f922,top_module,sa1 do_jump,32,18,84,False,8192,0.9908447265625,0.9908447265625,0.9999999929743699,False,True,1,1,1,1.0,1.0,0.875,1.0,1.0,1.0,1.0
508,64e3f2017529963eb12d4e8525f0c94a07ac6338b1ac1c57450b10059a5fff3b,top_module,sa1 p1b,8,2,2,True,256,0.0625,0.5,0.2275238037109375,True,False,0,0,0,0.125,0.0,0.5625,0.625,0.9375,0.9375,0.1875
509,df92953eb413ddd2fbd8300b5ad0e4fbd1cc15d6bb74316bb88f966ff83b66e9,alu_control,sa0 n30,12,3,20,True,4096,0.46875,0.9375,0.9203481674194336,False,False,1,0,1,1.0,0.75,0.625,0.625,0.9375,0.9375,1.0
510,dd5528c66cd8f220af7a658bb581479b4c1ae85a6ea3f69837aff8b664336f8a,immgen,sa0 n28,32,32,51,False,8192,0.0103759765625,0.4962158203125,0.04086239766884936,False,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.125
511,64260c35e1d70d98aedfd4d1eb19acb71d15e9ab8439ba306dae44e540c9c938,top_module,sa1 down,16,4,15,True,65536,0.9999847412109375,0.9999847412109375,1.0,False,True,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
